painting_id,img_src,painting_title,season,episode,num_colors,youtube_src
130,https://www.twoinchbrush.com/images/painting130.png,Peaceful_Haven,13,7,13,https://www.youtube.com/embed/j20pZ96E_CE
131,https://www.twoinchbrush.com/images/painting131.png,Mountain_Exhibition,13,8,10,https://www.youtube.com/embed/bgI3_1quJ18
132,https://www.twoinchbrush.com/images/painting132.png,Emerald_Waters,13,9,9,https://www.youtube.com/embed/lLunPQBzW6g
133,https://www.twoinchbrush.com/images/painting133.png,Mountain_Summit,13,10,12,https://www.youtube.com/embed/kasGRkfkiPM
134,https://www.twoinchbrush.com/images/painting134.png,Cabin_Hideaway,13,11,10,https://www.youtube.com/embed/NjTlW2NL1Lo
135,https://www.twoinchbrush.com/images/painting135.png,Oval_Essence,13,12,8,https://www.youtube.com/embed/q7WXF_BSEXw
136,https://www.twoinchbrush.com/images/painting136.png,Lost_Lake,13,13,12,https://www.youtube.com/embed/9-ATP8xyDM0
111,https://www.twoinchbrush.com/images/painting111.png,Distant_Mountains,14,1,13,https://www.youtube.com/embed/GpA9UM7QGag
112,https://www.twoinchbrush.com/images/painting112.png,Meadow_Brook_Surprise,14,2,12,https://www.youtube.com/embed/Ov5oIHTAa10
113,https://www.twoinchbrush.com/images/painting113.png,Mountain_Moonlight_Oval,14,3,12,https://www.youtube.com/embed/CigXQtT6BPM
114,https://www.twoinchbrush.com/images/painting114.png,Snowy_Solitude,14,4,7,https://www.youtube.com/embed/1ZriQGhSFTM
115,https://www.twoinchbrush.com/images/painting115.png,Mountain_River,14,5,13,https://www.youtube.com/embed/CnMLKAGi0yM
116,https://www.twoinchbrush.com/images/painting116.png,Graceful_Mountains,14,6,12,https://www.youtube.com/embed/0uVe8T-vVVg
117,https://www.twoinchbrush.com/images/painting117.png,Windy_Waves,14,7,14,https://www.youtube.com/embed/y6GVVjG4HMg
118,https://www.twoinchbrush.com/images/painting118.png,On_a_Clear_Day,14,8,11,https://www.youtube.com/embed/e63Cgln6Yag
119,https://www.twoinchbrush.com/images/painting119.png,Riverside_Escape_Oval,14,9,13,https://www.youtube.com/embed/d83REwSGfGo
120,https://www.twoinchbrush.com/images/painting120.png,Surprising_Falls,14,10,13,https://www.youtube.com/embed/QbclL1ca7_s
121,https://www.twoinchbrush.com/images/painting121.png,Shadow_Pond,14,11,13,https://www.youtube.com/embed/BQWJ3kqonpA
122,https://www.twoinchbrush.com/images/painting122.png,Misty_Forest_Oval,14,12,12,https://www.youtube.com/embed/ddU9vQvSpw8
123,https://www.twoinchbrush.com/images/painting123.png,Natural_Wonder,14,13,11,https://www.youtube.com/embed/knOutsaiKfU
98,https://www.twoinchbrush.com/images/painting98.png,Splendor_of_Winter,15,1,10,https://www.youtube.com/embed/oJvk7gPDHiE
99,https://www.twoinchbrush.com/images/painting99.png,Colors_of_Nature,15,2,12,https://www.youtube.com/embed/Me9Ietooq4w
100,https://www.twoinchbrush.com/images/painting100.png,Grandpa's_Barn,15,3,11,https://www.youtube.com/embed/IPPU49PyfEA
101,https://www.twoinchbrush.com/images/painting101.png,Peaceful_Reflections,15,4,13,https://www.youtube.com/embed/gYuH4Ilqdhs
102,https://www.twoinchbrush.com/images/painting102.png,Hidden_Winter_Moon_Oval,15,5,8,https://www.youtube.com/embed/yxAMOdl6RJE
103,https://www.twoinchbrush.com/images/painting103.png,Waves_of_Wonder,15,6,12,https://www.youtube.com/embed/tayQX_ng-Nc
104,https://www.twoinchbrush.com/images/painting104.png,Cabin_by_the_Pond,15,7,12,https://www.youtube.com/embed/TyOO6WeP2AY
105,https://www.twoinchbrush.com/images/painting105.png,Fall_Stream,15,8,12,https://www.youtube.com/embed/ZY0ofhdV_L0
106,https://www.twoinchbrush.com/images/painting106.png,Christmas_Eve_Snow,15,9,9,https://www.youtube.com/embed/cVqFG2pxK2A
107,https://www.twoinchbrush.com/images/painting107.png,Forest_Down_Oval,15,10,12,https://www.youtube.com/embed/COsJUfPN2dA
108,https://www.twoinchbrush.com/images/painting108.png,Pathway_to_Autumn,15,11,12,https://www.youtube.com/embed/Hg5RKc6xiL4
109,https://www.twoinchbrush.com/images/painting109.png,Deep_Forest_Lake,15,12,13,https://www.youtube.com/embed/2bjFmSQjQrw
110,https://www.twoinchbrush.com/images/painting110.png,Peaks_of_Majesty,15,13,11,https://www.youtube.com/embed/lTb8DN6G6dE
84,https://www.twoinchbrush.com/images/painting84.png,Two_Seasons,16,1,13,https://www.youtube.com/embed/jwVz0uTLH1I
85,https://www.twoinchbrush.com/images/painting85.png,Nestled_Cabin,16,2,12,https://www.youtube.com/embed/l_jN9KN257M
86,https://www.twoinchbrush.com/images/painting86.png,Wintertime_Discovery,16,3,11,https://www.youtube.com/embed/uZyZW3tkCE0
87,https://www.twoinchbrush.com/images/painting87.png,Mountain_Mirage_Wood_Shape,16,4,12,https://www.youtube.com/embed/jfCsew_mz7A
88,https://www.twoinchbrush.com/images/painting88.png,Double_Oval_Fantasy,16,5,13,https://www.youtube.com/embed/4jAsLpJzjHM
89,https://www.twoinchbrush.com/images/painting89.png,Contemplative_Lady,16,6,1,https://www.youtube.com/embed/gnp6WE7Ql-s
90,https://www.twoinchbrush.com/images/painting90.png,Deep_Woods,16,7,10,https://www.youtube.com/embed/rE5ZVs_YJfE
91,https://www.twoinchbrush.com/images/painting91.png,High_Tide,16,8,12,https://www.youtube.com/embed/_IREQ4SIcX8
93,https://www.twoinchbrush.com/images/painting93.png,Barn_in_Snow_Oval,16,9,7,https://www.youtube.com/embed/wJmi7-G9r-w
94,https://www.twoinchbrush.com/images/painting94.png,That_Time_of_Year,16,10,9,https://www.youtube.com/embed/q5moLoqOkP0
95,https://www.twoinchbrush.com/images/painting95.png,Waterfall_Wonder,16,11,11,https://www.youtube.com/embed/AGhXEPfp-W4
96,https://www.twoinchbrush.com/images/painting96.png,Mighty_Mountain_Lake,16,12,11,https://www.youtube.com/embed/4vXB2R8ybDE
97,https://www.twoinchbrush.com/images/painting97.png,Wooded_Stream_Oval,16,13,12,https://www.youtube.com/embed/-XA2h17y3HU
71,https://www.twoinchbrush.com/images/painting71.png,Golden_Mist_Oval,17,1,9,https://www.youtube.com/embed/lhpfaW0k6uM
72,https://www.twoinchbrush.com/images/painting72.png,The_Old_Home_Place,17,2,11,https://www.youtube.com/embed/EVQcDEiJh2o
73,https://www.twoinchbrush.com/images/painting73.png,Soothing_Vista,17,3,13,https://www.youtube.com/embed/NqfRLiv0SZ0
74,https://www.twoinchbrush.com/images/painting74.png,Stormy_Seas,17,4,9,https://www.youtube.com/embed/LE6agCR5iBw
75,https://www.twoinchbrush.com/images/painting75.png,Country_Time,17,5,13,https://www.youtube.com/embed/e_bt9rQoGN0
76,https://www.twoinchbrush.com/images/painting76.png,A_Mild_Winter's_Day,17,6,10,https://www.youtube.com/embed/BbYO579MmhA
77,https://www.twoinchbrush.com/images/painting77.png,Spectacular_Waterfall,17,7,15,https://www.youtube.com/embed/nK-HebXL2uw
